"deveui","The_GEOM"
"70b3d50780000793","POINT Z(2499902.27853167 1118201.63307026 4)"
"70b3d507800007a1","POINT Z(2499449.40487652 1118559.14532967 4)"
"70b3d5078000057a","POINT Z(2499747.01396418 1118022.64763599 4)"
"70b3d507800007ab","POINT Z(2499548.21267805 1118833.78687845 4)"
"70b3d5078000065e","POINT Z(2499221.51328232 1120005.73370268 4)"
"70b3d50780000689","POINT Z(2500396.56482925 1119229.78288577 4)"
"70b3d507800007c6","POINT Z(2499226.23852115 1119025.48480726 4)"
"70b3d50780000649","POINT Z(2497927.50847343 1119714.69600241 4)"
"70b3d50780000582","POINT Z(2499856.07784477 1118031.40228679 4)"
"70b3d507800007be","POINT Z(2500045.49175539 1118207.82451676 4)"
"70b3d507800008d0","POINT Z(2500163.15847608 1118078.68965735 4)"
"70b3d5078000051b","POINT Z(2497736.00785445 1119352.14658559 4)"
"70b3d5078000078f","POINT Z(2500194.72611532 1118363.68018252 4)"
"70b3d507800008d6","POINT Z(2499997.03486646 1118190.28105143 4)"
"70b3d507800007e0","POINT Z(2500298.313276 1118139.05395661 4)"
"70b3d507800007a3","POINT Z(2500037.3800468 1118263.4377676 4)"
"70b3d507800007f3","POINT Z(2499567.14093668 1119215.82292761 4)"
"70b3d507800007d8","POINT Z(2498761.99014174 1118859.02141855 4)"
"70b3d50780000787","POINT Z(2499009.47503784 1118671.87804211 4)"
"70b3d5078000079a","POINT Z(2499737.17741924 1118648.98053285 4)"
"70b3d507800007ba","POINT Z(2499595.55180381 1118472.88599992 4)"
"70b3d507800008b3","POINT Z(2500067.27190406 1118129.1933035 4)"
"70b3d507800008bd","POINT Z(2499937.39633421 1118033.50247411 4)"
"70b3d50780000670","POINT Z(2499986.46637376 1119650.8132415 4)"
"70b3d50780000684","POINT Z(2497513.26821363 1118764.43415797 4)"
"70b3d5078000071b","POINT Z(2500307.52003738 1119212.12776604 4)"
"70b3d5078000068c","POINT Z(2500450.20036092 1119337.41145107 4)"
"70b3d50780000864","POINT Z(2500491.2385287 1118262.51004404 4)"
"70b3d5078000085f","POINT Z(2497586.49547656 1118015.9431904 4)"
"70b3d50780000663","POINT Z(2498933.13464164 1119211.71427581 4)"
"70b3d5078000068b","POINT Z(2499768.4025737 1118083.55358246 4)"
"70b3d50780000693","POINT Z(2498621.24999206 1119017.92293024 4)"
"70b3d5078000085b","POINT Z(2497464.98735855 1118070.2579112 4)"
"70b3d50780000585","POINT Z(2500487.65927772 1118556.19661847 4)"
"70b3d507800004a6","POINT Z(2499391.11210506 1118442.15233318 4)"
"70b3d50780000650","POINT Z(2498583.3443027 1119523.320612 4)"
"70b3d507800007cf","POINT Z(2500564.0628363 1118766.73817888 4)"
"70b3d507800007af","POINT Z(2497919.91773262 1118520.18182603 4)"
"70b3d50780000836","POINT Z(2500142.57290772 1118454.04177476 4)"
"70b3d50780000866","POINT Z(2500239.17061792 1118301.90848564 4)"
"70b3d507800007c3","POINT Z(2499794.03268822 1119154.68816209 4)"
"70b3d507800005c5","POINT Z(2498085.77671566 1119173.90847018 4)"
"70b3d50780000851","POINT Z(2497433.99159514 1118390.87496908 4)"
"70b3d507800007d4","POINT Z(2500328.15114464 1118249.29778737 4)"
"70b3d5078000049e","POINT Z(2497514.24445041 1119168.0059658 4)"
"70b3d50780000790","POINT Z(2500397.7828584 1118249.70672711 4)"
"70b3d50780000678","POINT Z(2497470.89796392 1118737.35727207 4)"
"70b3d507800007c0","POINT Z(2499387.841739 1118830.00541261 4)"
"70b3d50780000852","POINT Z(2499393.41105562 1119331.5604305 4)"
"70b3d50780000744","POINT Z(2497514.16424864 1118862.8144817 4)"
